iter,name,value
1,low,0.9724690628420684
1,medium,1.2642219440695075
1,high,1.5811728680729467
2,low,0.9807017435950371
2,medium,1.248833001533566
2,high,1.5928586859740699
3,low,1.04348382384095
3,medium,1.3955407224550398
3,high,1.603284968217488
4,low,0.8572148148926249
4,medium,1.169573757372337
4,high,1.4125229239257875
5,low,0.9446395956700651
5,medium,1.2226918190720921
5,high,1.532903936597274
6,low,0.9253004198611192
6,medium,1.265796390788736
6,high,1.4872736098018957
7,low,0.8946600786216304
7,medium,1.2225860085828875
7,high,1.4197118769618489
8,low,1.0153666777164247
8,medium,1.302576216196668
8,high,1.617483042052383
9,low,0.8966498200546134
9,medium,1.2003969609636826
9,high,1.4232814091726698
10,low,1.1716058908705311
10,medium,1.4491816535712505
10,high,1.7439559515243137
11,low,0.9032270367137567
11,medium,1.1979614320864167
11,high,1.5398449761488209
12,low,0.9324103257719013
12,medium,1.2747641333940303
12,high,1.441656467562658
13,low,0.8758414311686699
13,medium,1.1784846908267503
13,high,1.37351518556298
14,low,1.1756161930563054
14,medium,1.4085053496292297
14,high,1.601392735358242
15,low,0.8339391675632306
15,medium,1.2272649442156323
15,high,1.4765086255457536
16,low,0.9479781563068939
16,medium,1.3415395320344212
16,high,1.5182173435707544
17,low,1.0681288302645893
17,medium,1.2914929891024818
17,high,1.5172127894858198
18,low,1.0399752076186473
18,medium,1.3412818883124111
18,high,1.4821554388489888
19,low,1.0574824262837206
19,medium,1.3565683851700194
19,high,1.5728770434130677
20,low,0.9947040993094123
20,medium,1.2634531414174317
20,high,1.503595966139107
21,low,1.0228474672014185
21,medium,1.3053488943298663
21,high,1.501344466340867
22,low,1.0117504021660804
22,medium,1.349014881689592
22,high,1.5526010999061355
23,low,0.9188040227023655
23,medium,1.2259382594774568
23,high,1.5346209002764994
24,low,1.1031623954321583
24,medium,1.3460610468357848
24,high,1.557266190099049
25,low,0.8160515078465707
25,medium,1.2345124348211898
25,high,1.4233781438453137
26,low,1.1056897113009652
26,medium,1.4125833168997923
26,high,1.6742483949933422
27,low,1.11867832445751
27,medium,1.3971307565882674
27,high,1.624654488429803
28,low,0.9651036530131653
28,medium,1.2925970597957215
28,high,1.562135061913159
29,low,1.181726457602009
29,medium,1.4767129824699605
29,high,1.6787391908296456
30,low,1.1126284057137787
30,medium,1.3536559987995913
30,high,1.5906580202736946
31,low,1.078465774920489
31,medium,1.3066819449497742
31,high,1.5134406849552153
32,low,1.062229781958221
32,medium,1.348487503396361
32,high,1.5666872172153847
33,low,0.8981786483421792
33,medium,1.2650616041415446
